,,Indeks Pembangunan Manusia,,,,,Rata-Rata Lama Sekolah (Tahun),,,,,PDRB ADHK (Milyar Rupiah),,,,,Persentase Penduduk Miskin (%),,,,,Umur Harapan Hidup (Tahun),,,,,Garis Kemiskinan (Rupiah/Kapita/Bulan),,,,,Kepadatan Penduduk (Jiwa/km2),,,,,Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),,,,,Indeks Pembangunan Gender,,,,,Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),,,,
,Bengkulu Tengah,69.42,69.78,70.29,70.81,71.67,"7,47","7,48","7,49","7,51","7,71","2885,34","2951,44","3041,02","3157,25","3282,44","9,3","9,68","9,76","9,4","10,14",68.19,68.19,68.37,68.52,68.64,431688,447435,512084,549468,582468,103,96,106,107,108,85.44,80.23,74.65,83.07,83.17,86.83,87.04,87.29,87.25,87.43,9392,9471,9697,10114,10672
,Kota Bengkulu,82.31,82.49,82.93,83.38,83.95,"11,79","11,8","11,82","11,83","11,84","15301,49","15833,19","16733,94","17658,93","18609,94","17,65","17,89","15,73","14,71","13,76",70.13,70.2,70.46,70.74,71.03,702578,740612,785905,810507,820354,2485,2496,2560,2602,2643,95.71,95.79,94.49,93.94,96.15,95.67,95.77,96.07,96.12,96.13,13938,14108,14503,14924,15542
Lampung,Lampung Barat,70.47,70.55,71.01,71.72,72.41,"8,06","8,07","8,2","8,36","8,56","4926,3","5051,88","5256,95","5502,92","5742,84","12,52","12,82","11,71","11,17","10,68",67.58,67.65,67.9,68.13,68.4,443313,457478,495283,530803,563531,143,143,143,148,150,73.08,76.5,83.75,83.95,84.4,92.95,93,93.4,93.47,93.52,9929,9969,10175,10593,10965
,Tanggamus,68.58,68.79,69.32,69.93,70.54,"7,22","7,34","7,35","7,36","7,38","10679,82","10929,22","11384,34","11919,46","12397,91","11,68","11,81","10,98","10,52","10,28",68.56,68.67,68.95,69.23,69.56,397984,410510,430697,463925,496000,221,223,225,228,227,69.81,68.96,63.99,67.82,70.82,91.13,90.98,91.1,91.27,91.42,9250,9266,9557,10038,10524
,Lampung Selatan,70.36,70.48,70.95,71.55,72.15,"7,69","7,7","7,72","7,77","7,78","29743,3","30517,4","31986,26","33528,67","35077,05","14,08","14,19","13,14","12,79","12,57",69.33,69.42,69.69,69.97,70.32,422328,439421,470857,508494,528226,480,483,487,498,503,82.25,94.4,94.29,95.58,96.4,89.6,89.61,89.78,89.96,90.09,9875,9931,10266,10617,11133
,Lampung Timur,70.62,70.91,71.82,72.44,73.05,"7,6","7,77","8,04","8,14","8,2","28931,29","29001,37","29587,41","30625,3","32039,52","14,62","15,08","13,98","13,8","13,19",70.73,70.78,71.01,71.25,71.53,398298,411200,433965,465856,497183,287,289,292,295,299,83.53,86.29,85.27,84.16,86.38,88.83,88.78,89.22,89.6,89.52,9983,10026,10403,10812,11262
,Lampung Tengah,71.97,72.04,72.59,73.39,74.16,"7,58","7,59","7,64","7,81","7,97","47347,97","48710,04","50973,45","53366,74","55829,71","11,82","11,99","10,96","10,65","10,37",69.84,69.87,70.08,70.29,70.55,436777,450232,474289,503645,526313,321,325,330,332,334,66.89,79.37,81.25,80.2,82.55,89.87,89.94,90.11,90.02,90.21,11219,11259,11710,12195,12595
,Lampung Utara,69.58,69.78,70.19,70.78,71.42,"8,21","8,34","8,35","8,36","8,38","16269,34","16727,89","17257,06","17985,8","18722,4","19,3","19,63","18,41","17,17","16,92",69.21,69.3,69.57,69.83,70.13,441045,451876,475290,510098,544994,250,251,239,246,247,79.69,75.03,80.82,80.23,77.74,89.46,89.58,89.74,89.79,89.97,8733,8737,8951,9374,9837
,Way Kanan,69.33,69.46,69.92,70.51,71.17,"7,7","7,71","7,72","7,74","7,75","9462,31","9736,5","10165,6","10635,97","11130,37","12,9","13,09","11,76","11,02","10,43",69.4,69.46,69.69,69.91,70.16,377712,389088,409522,433471,464717,129,130,136,139,141,74.03,78.66,73.86,78.48,81.38,88.19,88.32,88.5,88.64,88.75,9102,9173,9450,9887,10439
,Tulangbawang,70.07,70.28,71.08,71.56,72.24,"7,49","7,55","7,56","7,57","7,65","15614,89","16064,5","16685,48","17399,75","18225,72","9,33","9,67","8,42","8,04","7,88",69.97,70.01,70.22,70.42,70.56,438744,456567,486739,522396,560324,139,139,139,143,145,79.81,84.83,85.6,84.49,86.97,89.31,89.56,90.18,90.26,90.33,10683,10735,11114,11552,12122
,Pesawaran,67.7,68.04,68.55,69.46,70.24,"7,7","7,71","7,77","7,99",8,"11258,77","11493,29","12016,35","12555,57","13044,68","14,76","15,11","13,85","12,89","11,86",69.04,69.15,69.44,69.74,70.13,403441,420032,452521,491249,524588,374,377,381,386,388,77.28,83.73,86.2,88.73,87.85,87.2,87.22,87.77,88.04,88.32,7892,7934,8192,8633,9190
,Pringsewu,72.04,72.14,72.57,73.11,73.84,"8,38","8,39","8,4","8,42","8,53","7647,66","7870,04","8214,07","8606,96","9001,15","9,97","10,11","9,34","9,14","8,32",70.08,70.27,70.65,71.05,71.21,458627,475983,511679,555787,583425,660,662,664,682,688,84.64,88.91,84.22,88.72,86.7,92.33,92.29,92.5,92.68,93.03,10262,10302,10577,11016,11543
,Mesuji,65.83,66.24,67.12,67.79,68.59,"6,88","7,08","7,09","7,11","7,21","6911,12","7107,31","7355,55","7653,92","8004,38","7,33","7,54","6,84","6,73","6,31",68.19,68.26,68.51,68.75,69.04,423133,436653,459977,525183,555729,103,104,106,108,110,75.79,78.98,84.63,81.14,83.31,84.17,84.37,84.47,84.63,85.11,7894,7980,8466,8947,9454
,Tulang Bawang Barat,67.51,67.76,68.7,69.38,70.04,"7,24","7,39","7,72","7,79","7,8","7747,24","7970,78","8328,39","8705,98","9101,7","7,39","8,32","7,44","7,25","7,22",70,70.03,70.23,70.42,70.64,432693,447327,476712,511418,544020,223,224,226,231,238,75.21,75.33,77.89,77.09,80.85,88.56,88.96,89.04,89.01,89.1,8395,8422,8737,9162,9646
,Pesisir Barat,68.43,68.79,69.58,70.4,71.04,"8,01","8,19","8,53","8,7","8,73","3069,6","3132,7","3221,12","3331,35","3418,39","14,29","14,81","13,84","13,49","12,64",63.5,63.66,63.99,64.29,64.69,441917,460090,496629,545538,566040,54,55,55,57,59,70.42,76.68,77.74,79.23,84.09,93.21,93.51,93.95,94.25,94.48,8457,8533,8663,9102,9550
,Kota Bandar Lampung,78.78,78.93,79.33,79.86,80.46,"10,93","10,95","10,96","10,97","10,99","38632,2","39838,17","41798,71","43870,15","46051,58","8,81","9,11","8,21","7,77","7,37",71.37,71.42,71.66,71.91,72.24,634743,654576,698598,761790,787260,6361,6464,6586,6543,6609,92.32,95.45,89.07,92.85,89.33,93.86,93.93,94.02,94.14,94.16,12197,12247,12593,13092,13667
,Kota Metro,78.69,78.99,79.38,79.85,80.41,"10,96","10,97","10,98",11,"11,01",4235,"4358,39","4554,76","4775,93","5009,08","8,47","8,93","7,87","7,28","6,78",71.63,71.66,71.88,72.12,72.44,406351,417861,449415,480830,503161,2306,2321,2338,2375,2400,99.35,94.64,98.77,98.89,99.68,95.55,95.89,95.9,95.99,95.99,11906,11916,12233,12618,13092
Bangka Belitung,Bangka,73.06,73.13,73.62,74.34,74.66,"8,24","8,25","8,27","8,32","8,45","9988,8","10733,86","11255,79","11753,74","11702,39","4,51","4,81","4,26","4,32","4,24",71.06,71.14,71.37,71.6,71.8,577093,595429,639535,685810,723719,111,112,111,112,113,95.18,95.73,94.18,97.26,96.23,88.48,88.36,88.84,89.24,89.07,12416,12424,12863,13146,13205
,Belitung,72.97,73.01,73.83,74.49,74.96,"8,46","8,47","8,74","8,98","9,05","6352,86","6710,01","7093,18","7500,36","7638,73","6,27","7,15","6,45","6,46","6,11",71.05,71.1,71.31,71.54,71.75,812321,830484,860629,896948,919372,79,80,82,83,84,91.16,94.57,92.69,92.62,94.17,88.28,88.29,88.84,89.21,89.7,13554,13563,14045,14365,14449
,Bangka Barat,69.75,70.28,70.79,71.13,71.36,"7,22","7,44","7,46","7,47","7,48","10312,21",10333,"10539,45","10804,72","11395,65","2,7","2,75","2,46","2,71","2,59",70.06,70.08,70.25,70.43,70.59,589894,599887,635861,681517,720398,73,73,58,59,60,93.64,89.99,91.02,90.87,91.88,90.03,90.04,90.29,90.36,90.35,12233,12269,12790,13105,13199
,Bangka Tengah,71.11,71.55,72.06,72.36,72.54,"7,19","7,2","7,22","7,23","7,24","5715,6","5987,14","6351,45","6678,27","6655,38","4,85","5,13","4,86","5,29","5,94",71.36,71.52,71.82,72.11,72.36,721331,735479,773509,814969,856895,92,94,91,92,93,94.45,92.66,93.79,92.97,94.91,91.49,91.34,91.77,91.91,91.96,12909,12945,13422,13643,13677
,Bangka Selatan,68.1,68.24,69.12,69.67,70.01,"6,67","6,71","6,89","6,91","6,93","6057,88","6276,8","6469,04","6706,35","6766,44","3,52","3,69","3,22","3,11","3,74",68.16,68.35,68.68,68.98,69.24,561617,581970,621629,669016,697382,55,56,71,72,73,85.27,83.39,86.48,89.27,91.14,83.81,84.31,84.94,84.81,85.25,11757,11768,12341,12627,12718
,Belitung Timur,71.4,71.91,72.76,73.31,73.62,"8,22","8,47","8,67","8,9","8,99","5465,46","5714,79","5931,09","6209,89","6207,8","6,52","7,2","6,49","6,73","6,36",72.03,72.1,72.33,72.59,72.85,725395,798017,854534,899482,907577,51,51,50,51,51,87.35,89.46,89.92,90.03,91.5,86.37,86.56,86.95,87.3,87.69,11730,11760,12357,12536,12610
,Kota Pangkal Pinang,78.76,79.12,79.77,80.45,80.9,"9,92","10,13","10,27","10,5","10,67","8797,13","9611,44","10208,03","10750,81","10503,91","4,36","4,76","4,55","4,27","4,04",73.3,73.41,73.68,73.96,74.24,795653,808839,858840,894224,925522,2445,2483,2165,2175,2204,97.26,96.78,91.47,95.35,96.96,93.16,93.25,93.35,93.16,93.82,15663,15716,16307,16734,16750
Kepulauan Riau,Karimun,72.85,73.11,73.96,74.7,75.49,"8,54","8,62","9,33","9,18","9,26","9117,12","9332,77","9741,85","10277,62","10940,58","6,83","6,85","6,87","5,95","5,78",70.91,71.11,71.53,72.01,72.2,411052,422961,446856,468332,492654,278,284,286,280,283,89.56,92.88,97.01,96.85,95.91,91.25,91,91.12,91.33,91.61,11885,11879,12304,12756,13287
,Bintan,76.04,76.48,76.8,77.5,77.96,"9,19","9,05","9,58","9,72","9,61","13902,16","13933,49","15000,72","16249,45","17693,69","6,36","6,42","6,44","5,9","5,44",70.38,70.46,70.76,71.09,71.21,417654,424426,447933,474674,496764,121,123,126,126,128,77.36,79.76,87.64,86.74,87.93,93.12,93.53,93.78,93.93,94.05,14482,14393,14739,14882,15078
,Natuna,77.03,77.33,77.59,78.23,78.6,"9,01","9,19","9,41","9,42","9,72","14642,75","14645,4","14661,76","14786,1","14258,64","4,43","4,95","5,32","5,25","5,04",65.06,65.31,65.76,66.22,66.41,408164,420503,449302,480103,501927,41,41,43,42,43,66.15,70.71,76.45,76.56,78.98,91.67,91.95,91.86,92.07,91.82,14705,14711,14834,15409,15560
,Lingga,70.38,70.82,71.48,72.23,73.05,"7,16","7,95","7,99","7,91","7,97","2914,6","2971,55","3082,79","3215,39","3357,41","13,85","13,93","14,05","11,26","9,99",62.06,62.39,62.92,63.5,63.73,472384,484088,507223,540936,562906,44,44,47,46,46,58.51,68.18,65.51,70.13,69.85,89.25,89.73,90.48,90.75,91.12,11998,11938,12134,12485,12906
,Kepulauan Anambas,71.5,71.86,72.15,72.8,73.47,"8,09","7,83","8,66","8,45","8,88","11104,45","11108,49","11118,23","11187,49","10553,18","6,56","7,09","7,51","6,95","6,67",67.21,67.36,67.73,68.1,68.37,416877,429475,452220,481718,504332,80,83,80,78,79,23.95,33.8,29.07,30.46,26.55,90.27,90.3,91.14,91.25,91.58,11875,11950,12137,12495,12983
,Kota Batam,81.81,81.82,82.25,82.64,83.32,"10,92","11,13","10,94","11,01","11,19","106029,7",111069,"118665,2",127017,"135511,6","4,75","5,05","5,19","5,02","4,85",73.33,73.36,73.62,73.94,74.28,707856,740109,783730,854465,903960,1246,1281,1227,1214,1234,95.99,97.83,89.2,94.45,94.1,94.43,94.51,94.75,94.95,95.72,18095,18034,18506,18990,19668
,Kota Tanjung Pinang,79.96,79.98,80.58,81.14,81.58,"10,53","10,26","10,83","10,89","10,73","13938,24","14020,21","14597,57","15316,1","15894,76","9,37","9,57","9,85","7,95","6,68",72.1,72.18,72.49,72.85,73.02,691738,719776,764410,771584,798218,1575,1614,1595,1562,1579,85.59,84.47,91.71,92.69,91.51,96.79,97.14,97.14,96.96,97.02,15498,15439,15864,16213,16663
DKI Jakarta,Kepulauan Seribu,74.19,74.65,75.34,75.91,76.69,"8,68","8,81","9,02","9,03","9,26","3706,25","3648,88","3586,9","3305,1","3268,5","14,87","15,06","14,11","13,13","13,03",68.76,68.99,69.2,69.61,69.78,661852,670785,701088,743820,775909,2726,2774,2841,2659,2686,82.27,83.75,85.66,82.55,89.1,93.39,93.39,93.69,93.6,93.62,12412,12587,12999,13523,14110
,Kota Jakarta Selatan,85.4,85.58,85.87,86.71,87.57,"11,63","11,64","11,66","11,75","11,95","419257,2",429278,"451772,7","475806,2","500422,7","3,43","3,56","3,52","3,1","3,03",74.12,74.2,74.49,74.78,75.02,782731,792684,842630,891580,928278,14430,14475,14545,15424,15390,90.07,96.51,95.45,94.46,92.61,96.14,96.28,96.48,97.16,97.3,23575,23888,24221,24975,25573
,Kota Jakarta Timur,82.84,83.14,83.6,84.26,84.76,"11,66","11,67","11,73","11,88","11,99","299515,2","313816,5","329546,3","346508,7","362068,1","4,16","4,28","4,3","4,2","4,09",74.47,74.54,74.83,75.12,75.38,581954,594849,630842,669713,697472,16624,16729,16879,16598,16633,97.81,96.73,94.32,94.19,97.15,95.48,95.44,95.92,95.98,95.9,17438,17733,18199,18712,19193
,Kota Jakarta Pusat,82.22,82.38,82.9,83.29,83.75,"11,38","11,39","11,53","11,54","11,61","449518,1","460024,3","481954,4","506560,7","532606,9","4,51","4,94","4,9","4,68","4,63",74.11,74.19,74.48,74.81,75.09,672328,689379,733176,784679,818722,20177,20360,20618,22061,21955,90.05,89.56,92.35,93.09,90.3,96,96.11,96.41,96.28,96.24,17179,17365,17765,18202,18661
,Kota Jakarta Barat,82.33,82.7,83.43,83.85,84.4,"10,63","10,78","11,13","11,23","11,24","316172,6","327613,1","345619,6","363931,2","383113,1","4,25","4,31","4,22","4,09","3,94",73.62,73.69,73.81,74.16,74.48,557803,570330,599514,657247,685071,19564,19608,19680,19760,19837,94.01,97.75,91.65,93.96,94.94,95.16,95.37,95.39,95.39,95.66,20468,20801,21357,21709,22119
,Kota Jakarta Utara,81.04,81.26,81.56,81.85,82.13,"10,8","10,81","10,82","10,84","10,85","312100,6","330883,9","350233,7","364823,9","380461,1","6,78","7,24","7,24","6,78","6,44",73.28,73.35,73.47,73.59,73.69,594240,609310,645431,684557,712835,12708,12749,12812,12288,12333,89.58,90.61,88.92,90.96,91.39,93.53,93.6,93.84,94.03,94.43,18437,18762,19201,19617,20032
Jawa Barat,Bogor,71.63,71.83,72.45,73.02,73.63,"8,55","8,74","8,82","8,86","8,89","154113,6","159589,6","167966,2","176683,6","185882,3","7,69","8,13","7,73","7,27","7,05",71.17,71.36,71.65,71.92,72.16,402877,418483,443787,482174,513512,2002,2025,1861,1881,1899,53.36,63.91,73.47,71.49,67.18,89.23,89.4,89.95,90.2,90.17,10317,10410,10860,11153,11563
,Sukabumi,68.14,68.33,68.87,69.71,70.18,"7,82","7,71","7,69","7,84","7,75","46205,28","47935,63","50388,72","52993,98","55723,92","7,09","7,7","7,34","7,01","6,87",70.97,71.21,71.54,71.83,72.06,328284,342094,357636,392705,416751,657,666,674,673,679,62.88,64.35,63.32,53.21,51.9,87.37,87.44,87.64,88.3,88.59,8823,8850,9210,9482,9815
,Cianjur,66.96,67.16,67.55,68.18,68.89,"7,69","7,3","7,47","7,38","7,91","31792,32","32897,53","34556,4","36339,55","38208,18","10,36","11,18","10,55","10,22","10,14",70.13,70.32,70.58,70.79,70.96,371699,387631,406829,437327,466509,645,653,700,704,712,51.4,58.52,61.76,63.83,63.3,84.14,84.3,84.9,85.17,85.45,7980,8052,8244,8626,9026
,Bandung,72.69,73.03,73.46,74.03,74.59,"9,27","9,4","9,34","9,36","9,45","81060,97","83949,37","88437,96","92830,17","97509,91","6,91","7,15","6,8","6,4","6,19",73.53,73.72,74.01,74.27,74.53,367403,378819,398884,426069,455636,2050,2074,2136,2138,2156,67.27,64.51,70.85,66.67,69.12,93.95,93.85,93.97,94.03,94.23,10201,10307,10588,11018,11392
,Garut,67.2,67.53,68.51,69.22,69.91,"7,99","7,96","8,36","8,25","8,31","38598,43","39981,19","42012,96","44087,22","46270,92","9,98","10,65","10,42","9,77","9,68",71.41,71.59,71.85,72.07,72.28,310437,320050,335134,367681,393464,841,847,847,865,876,46.42,43.73,51.9,54.68,49.99,82.29,82.13,82.78,83.37,83.5,7876,7961,8227,8685,9168
,Tasikmalaya,67.22,67.43,68.45,69.38,69.98,"7,94","7,93","8,25","8,31","8,32","24344,86","25179,48","26361,66","27599,16","28879,68","10,34","11,15","10,73","10,28","10,23",69.47,69.67,69.95,70.19,70.39,323880,333909,347917,378958,400148,731,738,705,705,710,51.45,49.35,54.39,51.33,54.68,86.02,86.36,86.64,87.01,87.1,7852,7829,8177,8562,8965
,Ciamis,71.57,72,72.52,73.12,73.64,"8,02","8,28","8,42","8,45","8,33","21970,41","22774,93","23918,89","25111,71","26360,94","7,62","7,97","7,72","7,42","7,39",71.83,72.02,72.3,72.57,72.87,378108,389676,405294,442108,467497,869,875,782,784,789,69.2,66.59,75.5,71.38,77.12,86.61,86.55,87.04,87.25,87.48,9288,9259,9428,9750,10085
,Kuningan,69.66,69.99,70.44,70.99,71.56,"8,23","8,26","8,42","8,23","8,18","16882,76","17483,56","18450,34","19418,73","20507,27","12,82","13,1","12,76","12,12","11,88",73.59,73.78,74.03,74.29,74.53,352358,358069,371665,402767,420867,1051,1063,1003,1007,1018,83.92,80.98,69.29,83.03,84.64,86.81,86.97,87.17,87.31,87.55,9459,9409,9620,10011,10418
,Cirebon,69.61,69.99,70.92,71.81,72.3,"7,83","7,96","8,23","8,3","8,06","33304,05","34127,52","35523,78","37246,57","39418,27","11,24","12,3","12,01","11,2",11,71.99,72.18,72.47,72.76,73.04,393452,404635,416914,451853,475046,2306,2327,2150,2202,2228,83.23,83.41,86.76,89.02,87.92,83.47,83.49,84.01,84.28,84.74,10342,10368,10791,11128,11529
,Majalengka,69.2,69.42,70.18,70.76,71.37,"7,99","7,84","8,07","7,95","7,99","21754,54","22788,75","24298,1","25793,24","27438,93","11,43","12,33","11,94","11,21","10,82",70.27,70.46,70.76,71.05,71.31,453201,466813,483319,520713,547912,1084,1095,1004,1008,1017,79.44,80.59,81.26,82.67,83.61,85.91,86.24,86.69,87.06,87.16,9521,9591,9950,10340,10842
,Sumedang,72.48,72.64,73.53,74.02,74.57,"9,04","8,76","9,09",9,"8,86","23665,01","24414,66","25595,02","26876,86","27965,76","10,26","10,71","10,14","9,36","9,1",72.43,72.62,72.91,73.19,73.45,353092,360054,371870,396573,422714,759,764,745,752,758,92.43,87.87,80.59,72.55,77.32,95.18,95.18,95.09,95.41,95.55,10217,10262,10776,11136,11589
,Indramayu,68.25,68.6,69.52,70.19,70.72,"6,98","7,38","7,76","7,51","7,45",59200,"59544,87","61259,61","67237,69","68701,96","12,7","13,04","12,77","12,13","11,93",71.63,71.84,72.15,72.46,72.77,474807,481754,499805,532545,560159,899,907,902,912,922,88.86,89.75,86.64,95.9,97.27,88.15,87.92,88.17,88.81,89.03,9859,9810,10166,10580,11010
,Subang,69.66,69.84,70.54,71.42,72.05,"7,63","7,57","7,82",8,"7,88","28344,32","28960,89","30202,58","31604,98","33126,46","9,31","10,03","9,75","9,52","9,49",72.35,72.58,72.92,73.24,73.51,351885,360691,372308,404320,434161,842,849,750,762,768,81.14,85.82,80.02,89.4,90.29,90.53,90.51,90.95,91.29,91.55,10790,10854,11294,11537,11894
,Purwakarta,72.15,72.31,72.89,73.43,73.99,"8,52","8,43","8,41","8,36","8,4","45293,24","46840,15","49292,98","51740,5","54142,29","8,27","8,83","8,7","8,46","8,41",70.99,71.18,71.47,71.74,71.99,378287,387754,403663,434187,467948,1208,1225,1036,1044,1058,83.21,72.61,82.46,77.33,83.01,86.56,86.7,86.94,87.08,87.18,11614,11669,12193,12619,13099
,Karawang,71.56,71.84,72.64,73.25,73.82,"8,35","8,04","8,39","8,5","8,54","157710,6","166941,5","177470,9","187051,7","194903,1","8,26","8,95","8,44","7,87","7,86",72.15,72.33,72.62,72.9,73.14,466152,494201,521158,555889,597345,1476,1494,1309,1320,1335,78.14,77.19,85.1,83.02,85.99,90.12,90.29,90.5,91.07,91.23,11315,11522,11927,12392,12942
,Bekasi,74.47,74.84,75.6,76.13,76.8,"9,8","9,72","9,84","9,87","10,19","242971,4","251778,5","265120,5","279224,9","293664,8","4,82","5,21","5,01","4,93","4,8",73.68,73.81,74.04,74.3,74.57,518667,549875,579221,632811,674924,2541,2578,2570,2588,2617,88.82,81.02,89.99,91.54,89.16,88.58,88.88,89.37,89.53,89.72,11241,11341,11757,12123,12500
,Bandung Barat,68.81,69.03,69.82,70.33,70.77,"8,67","8,4","8,49","8,41","8,57","30640,41","31701,79","33393,29","35062,19","36793,68","10,49","11,3","10,82","10,52","10,49",72.34,72.52,72.79,73.1,73.34,362212,374470,393956,426355,455325,1370,1389,1439,1449,1468,71.47,63.78,50.96,56.93,54.02,79.06,79.07,79.69,80.37,81.02,8455,8546,9044,9392,9583
,Pangandaran,69.24,69.46,70.21,70.57,71.03,"8,19","8,24","8,47","8,37","8,47","7738,97","8022,78","8426,4","8869,86","9324,31","8,99","9,65","9,32","8,98","8,75",71.4,71.6,71.89,72.17,72.41,382264,394101,411174,447242,470068,419,423,383,382,385,87.58,81.49,83,86.91,90.3,89.78,89.92,90.2,90.04,90.38,9084,9065,9389,9406,9654
,Kota Bogor,76.63,77.11,77.68,78.36,79.03,"10,28","10,9","10,72","10,62","10,79","32162,74","33372,48","35258,87","37055,36","38964,67","6,68","7,24","7,1","6,67","6,53",73.61,73.82,74.13,74.45,74.74,547399,571425,608949,661384,699861,8802,8881,9550,9614,9683,69.86,75.35,67.93,74.36,71.49,91.02,90.87,90.97,91.11,91.26,11564,11716,12058,12656,13154
,Kota Sukabumi,75.06,75.44,76.24,77.16,77.69,"9,75","10,26","10,41","10,45","10,44","8534,72","8851,05","9324,16","9801,88","10303,16","7,7","8,25","8,02","7,5","7,2",72.42,72.58,72.85,73.11,73.35,547415,567734,594118,644276,678258,7178,7271,7377,7465,7571,34.93,39.64,45.8,44.76,45.88,91.36,91.58,91.83,92.35,92.59,10999,10942,11229,11799,12252
,Kota Bandung,81.78,82.23,82.75,83.29,83.75,"10,82","11,33","11,01","11,09","11,05",193145,200414,"211250,7","221969,1","233053,8","3,99","4,37","4,25","3,96","3,87",74.28,74.46,74.75,75.04,75.37,500452,515396,545675,591124,614707,14577,14630,14776,15047,15176,51.39,48.9,49.85,56.01,55.8,94.68,94.72,94.81,94.71,94.87,16887,16996,17639,18236,18795
,Kota Cirebon,75.91,76.26,76.89,77.45,78.09,"9,92","10,42","10,46","10,47","10,66","16648,21","17155,75","18030,25","18934,4","19884,06","9,52","10,03","9,82","9,16","9,02",72.26,72.44,72.74,73.08,73.34,457954,467248,485613,520579,545592,8921,9017,8646,8671,8744,89.01,92.71,90.62,93.27,95.38,94.39,94.46,94.91,95.55,95.83,11800,11810,12087,12506,12869
,Kota Bekasi,81.5,81.99,82.52,83.06,83.55,"11,32","11,63","11,75","11,74","11,9","67619,24","69796,94","73260,65","77241,79","81251,61","4,38","4,74","4,43","4,1","4,01",75.01,75.19,75.48,75.79,76.12,657953,692885,731392,795965,842927,12311,12414,12159,12332,12411,93.9,97.54,90.8,98.52,99.08,92.95,93.09,93.49,93.52,93.62,15776,15903,16239,16479,16775
,Kota Depok,81.14,81.54,82.02,82.53,83.05,"11,34","11,5","11,48","11,55","11,58","48135,93","49947,24","52564,98","55221,82","58241,86","2,45","2,58","2,53","2,38","2,34",74.44,74.62,74.92,75.23,75.55,688194,705084,744771,804984,843893,10267,10415,10622,10732,10823,97.48,97.06,96.21,97.43,98.76,93.01,92.96,93.47,93.44,93.7,15281,15420,15926,16279,16640
,Kota Cimahi,78.09,78.31,79.01,79.69,80.3,"10,86","11,15","11,19","11,33","11,47","22340,56","23275,78","24652,73","25931,98","27296,93","5,11","5,35","5,11","4,66","4,39",74.03,74.21,74.5,74.8,75.1,511375,522281,549450,590197,612567,14474,14556,13557,13924,14110,70.05,78.67,77.18,76.37,76.44,92.01,91.95,91.97,92,92.28,12025,12019,12500,12883,13278
,Kota Tasikmalaya,74.04,74.31,74.84,75.47,76.03,"9,6","9,77","9,69","9,72","9,86","15430,02","15980,75","16781,04","17781,93","18709,87","12,97","13,13","12,72","11,53","11,1",72.15,72.34,72.63,72.92,73.16,470150,480341,498711,537497,565377,4173,4218,3988,4033,4081,49.29,52.62,52.62,56.25,53.16,91.64,91.74,91.87,92.13,92.22,10263,10213,10578,11063,11431
,Kota Banjar,73.08,73.3,73.93,74.45,75.01,"8,84","9,08","9,17","8,99","9,15","3251,76","3365,25","3516,57","3682,3","3883,98","6,09","7,11","6,73","6,14","5,85",70.99,71.19,71.49,71.8,72.03,344363,357210,373510,408710,430590,1771,1792,1576,1584,1601,89.33,81.92,88.26,89.06,91.07,87.17,87.01,87.67,87.85,88.12,10535,10476,10967,11356,11811
Jawa Tengah,Cilacap,70.19,70.66,71.22,72.04,72.55,"12,5","12,63","7,18","7,39","7,4","90011,58","91944,59","96677,84","101839,7","104540,7","11,46","11,67","11,02","10,99","10,68",73.73,73.9,74.07,74.25,74.57,351735,363367,384955,419429,441093,915,924,930,893,901,80.85,76.42,79.1,80.38,83.25,86.69,87,87.02,87.34,87.41,10440,10534,10904,11432,11868
,Banyumas,72.13,72.59,73.3,73.96,74.52,"12,85","13,03","7,78","7,87","7,91","39121,62","40686,81","43069,5","45396,3","47795,71","13,26","13,66","12,84","12,53","11,95",73.72,73.8,73.88,73.98,74.34,406250,417086,441520,479027,500861,1331,1340,1360,1377,1391,75.24,79.97,79.8,83,83.25,88.27,88.54,89.15,89.14,89.27,11448,11546,11905,12492,12960
,Purbalingga,69.23,69.41,69.8,70.51,70.97,"11,99",12,"7,33","7,34","7,36","17182,87","17731,44","18690,73","19533,86","20422,61","15,9","16,24","15,3","14,99","14,18",73.14,73.21,73.28,73.37,73.56,375199,384183,407849,439208,460870,1474,1487,1311,1321,1334,81.24,76.33,78.56,77.19,77.19,92.78,93.08,93.21,93.51,93.74,9914,10032,10277,10964,11343
,Banjarnegara,67.46,67.87,68.62,69.16,69.62,"11,46","11,63","6,84","6,86","6,87","15045,88","15536,48","16359,11","17174,39","18051,84","15,64","16,23","15,2","14,9","14,71",74.18,74.28,74.37,74.47,74.66,318334,328679,351333,380046,398344,994,1003,971,984,993,46.25,40.75,51.66,46.09,52.4,95.28,95.32,95.19,95.09,95.19,9263,9407,9776,10226,10595
,Kebumen,70.32,70.56,71.29,71.88,72.48,"13,34","13,35","7,85","7,86","7,87","19527,66","20253,06","21425,79","22638,9","23837,83","17,59","17,83","16,41","16,34","15,71",73.4,73.55,73.7,73.83,73.96,380557,390599,416004,451678,471824,1114,1124,1073,1048,1060,91.95,88.99,93.49,93.68,93.82,93.05,93.06,93.26,93.37,93.41,8901,9028,9282,9734,10176
