,,Indeks Pembangunan Manusia,,,,,Rata-Rata Lama Sekolah (Tahun),,,,,PDRB ADHK (Milyar Rupiah),,,,,Persentase Penduduk Miskin (%),,,,,Umur Harapan Hidup (Tahun),,,,,Garis Kemiskinan (Rupiah/Kapita/Bulan),,,,,Kepadatan Penduduk (Jiwa/km2),,,,,Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),,,,,Indeks Pembangunan Gender,,,,,Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),,,,
,Mandailing Natal,70.89,71.31,72.17,72.65,73.44,"8,62","8,63","8,76","8,84","9,11","9288,65","9585,9","10001,97","10494,85","11001,61","9,18","9,49","8,92","8,86","8,69",62.6,62.65,63.05,63.47,63.65,400721,423017,450345,487436,519553,77,78,74,76,77,33.81,35.73,39.64,35.89,40.14,93.24,93.47,93.42,93.68,93.88,9684,9771,10061,10251,10644
,Tapanuli Selatan,73.16,73.37,73.96,74.58,75.18,"9,28","9,29","9,34","9,51","9,56","9721,77","10036,71","10516,04","11053,87","11620,33","8,47","8,8","8,07","7,01","6,92",64.91,64.97,65.28,65.56,65.74,397363,420431,445612,480834,512480,50,50,72,74,75,38.64,46.41,52.9,51.54,56.26,90.86,90.74,90.99,90.63,90.75,11236,11304,11727,11829,12213
,Tapanuli Tengah,71.1,71.48,72.18,72.77,73.34,"8,62","8,84","8,86","8,87","8,92","6970,58","7149,28","7447,83","7762,58","8084,42","12,38","12,67","11,71","11,5","11,8",67.15,67.24,67.58,67.9,68.18,406646,429050,450940,489760,527227,167,169,161,168,171,50.85,57.56,58.52,60.46,62.6,94.85,94.93,94.95,95.23,95.38,10071,10138,10495,10690,11128
,Tapanuli Utara,75.77,76.06,76.43,76.86,77.48,"9,85","9,99",10,"10,09","10,31","5851,4","6058,35","6315,72","6615,95","6931,24","9,37","9,72","8,93","8,54","8,21",68.63,68.76,69.16,69.57,69.77,406813,437428,466316,499881,531593,82,83,83,83,84,83.62,83.79,87.76,91.21,89.78,97.98,97.93,98.16,97.75,97.69,11648,11710,11892,12115,12382
,Toba Samosir,76.81,77.03,77.58,77.83,78.44,"10,52","10,57","10,58","10,59","10,77","5488,92","5649,1","5888,38","6178,95","6478,13","8,71","8,99","8,89","8,04","8,07",70.08,70.29,70.76,71.24,71.42,404864,435332,465681,496950,531581,89,90,96,93,95,89.61,89.54,89.37,93.26,95.84,97.96,98.06,98.51,98.32,98.24,12154,12224,12475,12676,12960
,Labuhan Batu,73.08,73.16,73.96,74.7,75.2,"9,24","9,25","9,4","9,49","9,5","23252,75","24147,56","25305,99","26579,28","27924,86","8,44","8,74","8,26","7,99","7,84",69.93,69.95,70.37,70.77,70.99,425035,457021,489503,524240,556900,229,232,183,185,188,79.06,81.5,80.36,84.79,88.7,90.86,90.88,90.81,90.74,90.85,11150,11212,11474,11670,12102
,Asahan,72.35,72.55,73.18,73.59,74.17,"8,79","8,8","8,82","8,83","8,85","26299,57","27279,59","28550,81","29941,33","31341,3","9,04","9,35","8,64","8,21","8,12",68.26,68.37,68.73,69.09,69.27,351314,377752,397944,427293,454298,208,210,211,215,218,90.67,89.09,89.33,92.13,94.74,91.51,91.66,91.93,91.91,92.06,10890,11030,11515,11795,12301
,Simalungun,74.19,74.33,74.68,75.17,75.88,"9,6","9,61","9,63","9,72","9,73","27625,7","28648,78","29990,35","31510,63","33052,35","8,46","8,81","8,26","7,87","7,72",71.22,71.37,71.78,72.2,72.38,387549,416714,441744,467926,496959,227,230,222,225,229,90.96,91.75,91.25,92.96,94.97,93.02,93.05,93.16,93.09,93.41,11308,11376,11524,11746,12119
,Dairi,73.63,73.89,74.6,75.18,75.88,"9,58","9,59","9,72","9,88","9,89","6508,05","6641,67","6921,48","7270,26","7631,31","8,04","8,31","7,88","7,47","7,1",69,69.19,69.64,70.11,70.27,380275,408893,436713,463360,502924,160,162,151,156,159,88.61,92.35,94.14,94.42,97.18,98.02,98.05,98.15,98.44,98.37,10350,10504,10740,10969,11355
,Karo,75.4,75.81,76.37,76.88,77.49,"9,79",10,"10,02","10,03","10,12","14261,47","14582,33","15197,52","15966,67","16641,17","8,7","8,79","8,17","7,98","7,37",71.4,71.58,72.03,72.28,72.44,500921,531519,563660,606244,656812,190,192,188,191,193,85.99,84.33,85.35,88.11,89.5,96.19,95.9,96.38,96.36,96.49,12349,12412,12554,12779,13278
